Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2030-01-01 00:00:00;2030-01-01 00:15:00;2030-01-01 00:07:30;11589,440168809542
2030-01-01 00:15:00;2030-01-01 00:30:00;2030-01-01 00:22:30;11494,189419980807
2030-01-01 00:30:00;2030-01-01 00:45:00;2030-01-01 00:37:30;11456,448557237345
2030-01-01 00:45:00;2030-01-01 01:00:00;2030-01-01 00:52:30;11403,132100345789
2030-01-01 01:00:00;2030-01-01 01:15:00;2030-01-01 01:07:30;11302,190269039864
2030-01-01 01:15:00;2030-01-01 01:30:00;2030-01-01 01:22:30;11272,536734027144
2030-01-01 01:30:00;2030-01-01 01:45:00;2030-01-01 01:37:30;11395,34430327174
2030-01-01 01:45:00;2030-01-01 02:00:00;2030-01-01 01:52:30;11291,70669605557
2030-01-01 02:00:00;2030-01-01 02:15:00;2030-01-01 02:07:30;11165,604289587338
2030-01-01 02:15:00;2030-01-01 02:30:00;2030-01-01 02:22:30;11102,70285168157
2030-01-01 02:30:00;2030-01-01 02:45:00;2030-01-01 02:37:30;11036,806107208859
2030-01-01 02:45:00;2030-01-01 03:00:00;2030-01-01 02:52:30;10953,237053991195
2030-01-01 03:00:00;2030-01-01 03:15:00;2030-01-01 03:07:30;10894,22951462245
2030-01-01 03:15:00;2030-01-01 03:30:00;2030-01-01 03:22:30;10740,570287738357
2030-01-01 03:30:00;2030-01-01 03:45:00;2030-01-01 03:37:30;10704,027547621674
2030-01-01 03:45:00;2030-01-01 04:00:00;2030-01-01 03:52:30;10712,713936665803
2030-01-01 04:00:00;2030-01-01 04:15:00;2030-01-01 04:07:30;10670,779644728624
2030-01-01 04:15:00;2030-01-01 04:30:00;2030-01-01 04:22:30;10609,375860106325
2030-01-01 04:30:00;2030-01-01 04:45:00;2030-01-01 04:37:30;10603,085716315749
2030-01-01 04:45:00;2030-01-01 05:00:00;2030-01-01 04:52:30;10633,637843298551
2030-01-01 05:00:00;2030-01-01 05:15:00;2030-01-01 05:07:30;10679,765564429448
2030-01-01 05:15:00;2030-01-01 05:30:00;2030-01-01 05:22:30;10679,16650311606
2030-01-01 05:30:00;2030-01-01 05:45:00;2030-01-01 05:37:30;10701,032241054732
2030-01-01 05:45:00;2030-01-01 06:00:00;2030-01-01 05:52:30;10649,812498760035
2030-01-01 06:00:00;2030-01-01 06:15:00;2030-01-01 06:07:30;10542,28099300684
2030-01-01 06:15:00;2030-01-01 06:30:00;2030-01-01 06:22:30;10600,98900171889
2030-01-01 06:30:00;2030-01-01 06:45:00;2030-01-01 06:37:30;10529,101644112297
2030-01-01 06:45:00;2030-01-01 07:00:00;2030-01-01 06:52:30;10539,585217096592
2030-01-01 07:00:00;2030-01-01 07:15:00;2030-01-01 07:07:30;10733,381551977698
2030-01-01 07:15:00;2030-01-01 07:30:00;2030-01-01 07:22:30;10801,375011047268
2030-01-01 07:30:00;2030-01-01 07:45:00;2030-01-01 07:37:30;10866,373163549895
2030-01-01 07:45:00;2030-01-01 08:00:00;2030-01-01 07:52:30;10937,6614598431
2030-01-01 08:00:00;2030-01-01 08:15:00;2030-01-01 08:07:30;10856,189121222294
2030-01-01 08:15:00;2030-01-01 08:30:00;2030-01-01 08:22:30;10941,854889036818
2030-01-01 08:30:00;2030-01-01 08:45:00;2030-01-01 08:37:30;11099,707545114628
2030-01-01 08:45:00;2030-01-01 09:00:00;2030-01-01 08:52:30;11228,206196836412
2030-01-01 09:00:00;2030-01-01 09:15:00;2030-01-01 09:07:30;11407,325529539507
2030-01-01 09:15:00;2030-01-01 09:30:00;2030-01-01 09:22:30;11677,202651220923
2030-01-01 09:30:00;2030-01-01 09:45:00;2030-01-01 09:37:30;11878,487252519384
2030-01-01 09:45:00;2030-01-01 10:00:00;2030-01-01 09:52:30;12035,141785970418
2030-01-01 10:00:00;2030-01-01 10:15:00;2030-01-01 10:07:30;11953,070386036223
2030-01-01 10:15:00;2030-01-01 10:30:00;2030-01-01 10:22:30;12157,350293901625
2030-01-01 10:30:00;2030-01-01 10:45:00;2030-01-01 10:37:30;12411,352290778254
2030-01-01 10:45:00;2030-01-01 11:00:00;2030-01-01 10:52:30;12607,844401569606
2030-01-01 11:00:00;2030-01-01 11:15:00;2030-01-01 11:07:30;12763,899873707252
2030-01-01 11:15:00;2030-01-01 11:30:00;2030-01-01 11:22:30;13064,029591714778
2030-01-01 11:30:00;2030-01-01 11:45:00;2030-01-01 11:37:30;13252,733905432084
2030-01-01 11:45:00;2030-01-01 12:00:00;2030-01-01 11:52:30;13280,889787161332
2030-01-01 12:00:00;2030-01-01 12:15:00;2030-01-01 12:07:30;13285,382747011745
2030-01-01 12:15:00;2030-01-01 12:30:00;2030-01-01 12:22:30;13315,335812681158
2030-01-01 12:30:00;2030-01-01 12:45:00;2030-01-01 12:37:30;13238,655964567459
2030-01-01 12:45:00;2030-01-01 13:00:00;2030-01-01 12:52:30;13124,534784366993
2030-01-01 13:00:00;2030-01-01 13:15:00;2030-01-01 13:07:30;13162,575177767148
2030-01-01 13:15:00;2030-01-01 13:30:00;2030-01-01 13:22:30;13097,57702526452
2030-01-01 13:30:00;2030-01-01 13:45:00;2030-01-01 13:37:30;13042,163853776105
2030-01-01 13:45:00;2030-01-01 14:00:00;2030-01-01 13:52:30;12961,889637782077
2030-01-01 14:00:00;2030-01-01 14:15:00;2030-01-01 14:07:30;12950,807003484393
2030-01-01 14:15:00;2030-01-01 14:30:00;2030-01-01 14:22:30;12916,360977964567
2030-01-01 14:30:00;2030-01-01 14:45:00;2030-01-01 14:37:30;12989,146927541242
2030-01-01 14:45:00;2030-01-01 15:00:00;2030-01-01 14:52:30;12940,323430500099
2030-01-01 15:00:00;2030-01-01 15:15:00;2030-01-01 15:07:30;13074,812695355766
2030-01-01 15:15:00;2030-01-01 15:30:00;2030-01-01 15:22:30;13033,77699538867
2030-01-01 15:30:00;2030-01-01 15:45:00;2030-01-01 15:37:30;13104,166699711792
2030-01-01 15:45:00;2030-01-01 16:00:00;2030-01-01 15:52:30;13135,317888007981
2030-01-01 16:00:00;2030-01-01 16:15:00;2030-01-01 16:07:30;13364,458840378997
2030-01-01 16:15:00;2030-01-01 16:30:00;2030-01-01 16:22:30;13544,476765052172
2030-01-01 16:30:00;2030-01-01 16:45:00;2030-01-01 16:37:30;13760,138837871951
2030-01-01 16:45:00;2030-01-01 17:00:00;2030-01-01 16:52:30;14047,688268298321
2030-01-01 17:00:00;2030-01-01 17:15:00;2030-01-01 17:07:30;14425,096895732935
2030-01-01 17:15:00;2030-01-01 17:30:00;2030-01-01 17:22:30;14547,005873007449
2030-01-01 17:30:00;2030-01-01 17:45:00;2030-01-01 17:37:30;14669,813442252045
2030-01-01 17:45:00;2030-01-01 18:00:00;2030-01-01 17:52:30;14744,995637082273
2030-01-01 18:00:00;2030-01-01 18:15:00;2030-01-01 18:07:30;14765,06419108078
2030-01-01 18:15:00;2030-01-01 18:30:00;2030-01-01 18:22:30;14709,051958278977
2030-01-01 18:30:00;2030-01-01 18:45:00;2030-01-01 18:37:30;14613,801209450241
2030-01-01 18:45:00;2030-01-01 19:00:00;2030-01-01 18:52:30;14478,712883281185
