Zeitpunkt;Skalierter Netzlast [MWh]
2035-01-01 00:07:30;16037.899163028871
2035-01-01 00:22:30;15906.087627470017
2035-01-01 00:37:30;15853.860415267452
2035-01-01 00:52:30;15780.079115489225
2035-01-01 01:07:30;15640.392047931573
2035-01-01 01:22:30;15599.356381200985
2035-01-01 01:37:30;15769.302071701395
2035-01-01 01:52:30;15625.884488986416
2035-01-01 02:07:30;15451.379279960385
2035-01-01 02:22:30;15364.333926289444
2035-01-01 02:37:30;15273.14355577703
2035-01-01 02:52:30;15157.49758589992
2035-01-01 03:07:30;15075.840754122895
2035-01-01 03:22:30;14863.201390155311
2035-01-01 03:37:30;14812.632184689335
2035-01-01 03:52:30;14824.652733529607
2035-01-01 04:07:30;14766.62249774898
2035-01-01 04:22:30;14681.649652498776
2035-01-01 04:37:30;14672.945117131681
2035-01-01 04:52:30;14715.22428891471
2035-01-01 05:07:30;14779.0575482734
2035-01-01 05:22:30;14778.228544905105
2035-01-01 05:37:30;14808.487167847861
2035-01-01 05:52:30;14737.607379858666
2035-01-01 06:07:30;14588.80127524977
2035-01-01 06:22:30;14670.04360534265
2035-01-01 06:37:30;14570.563201147288
2035-01-01 06:52:30;14585.070760092445
2035-01-01 07:07:30;14853.253349735774
2035-01-01 07:22:30;14947.34523203722
2035-01-01 07:37:30;15037.292097497193
2035-01-01 07:52:30;15135.943498324259
2035-01-01 08:07:30;15023.199040236183
2035-01-01 08:22:30;15141.746521902323
2035-01-01 08:37:30;15360.18890944797
2035-01-01 08:52:30;15538.01013194718
2035-01-01 09:07:30;15785.88213906729
2035-01-01 09:22:30;16159.348156484042
2035-01-01 09:37:30;16437.893288231055
2035-01-01 09:52:30;16654.677669040113
2035-01-01 10:07:30;16541.104207583743
2035-01-01 10:22:30;16823.794356172228
2035-01-01 10:37:30;17175.291784329173
2035-01-01 10:52:30;17447.204889129825
2035-01-01 11:07:30;17663.16026657059
2035-01-01 11:22:30;18078.490954086225
2035-01-01 11:37:30;18339.62701509905
2035-01-01 11:52:30;18378.5901734089
2035-01-01 12:07:30;18384.80769867111
2035-01-01 12:22:30;18426.257867085842
2035-01-01 12:37:30;18320.145435944123
2035-01-01 12:52:30;18162.220294283987
2035-01-01 13:07:30;18214.8620081707
2035-01-01 13:22:30;18124.915142710728
2035-01-01 13:37:30;18048.23233114347
2035-01-01 13:52:30;17937.14587979198
2035-01-01 14:07:30;17921.80931747853
2035-01-01 14:22:30;17874.141623801588
2035-01-01 14:37:30;17974.86553304939
2035-01-01 14:52:30;17907.301758533373
2035-01-01 15:07:30;18093.41301471553
2035-01-01 15:22:30;18036.626283987345
2035-01-01 15:37:30;18134.03417976197
2035-01-01 15:52:30;18177.142354913292
2035-01-01 16:07:30;18494.236143286005
2035-01-01 16:22:30;18743.35165545856
2035-01-01 16:37:30;19041.792868044642
2035-01-01 16:52:30;19439.71448482609
2035-01-01 17:07:30;19961.986606851737
2035-01-01 17:22:30;20130.688792299705
2035-01-01 17:37:30;20300.634482800113
2035-01-01 17:52:30;20404.674405521095
2035-01-01 18:07:30;20432.44601835897
2035-01-01 18:22:30;20354.934203423414
2035-01-01 18:37:30;20223.12266786456
2035-01-01 18:52:30;20036.18240831411
2035-01-01 19:07:30;20015.042822422598
2035-01-01 19:22:30;19787.481397825708
2035-01-01 19:37:30;19598.883131538667
2035-01-01 19:52:30;19301.685424005023
2035-01-01 20:07:30;19083.243036459375
2035-01-01 20:22:30;18773.610278401313
2035-01-01 20:37:30;18435.79140582123
2035-01-01 20:52:30;18124.500641026578
2035-01-01 21:07:30;18115.796105659487
2035-01-01 21:22:30;17955.383953894467
2035-01-01 21:37:30;17833.105957071
2035-01-01 21:52:30;17759.324657292775
2035-01-01 22:07:30;17927.612341056592
2035-01-01 22:22:30;17692.58988614505
2035-01-01 22:37:30;17425.23629987002
2035-01-01 22:52:30;17051.770282453264
2035-01-01 23:07:30;16778.19917091602
2035-01-01 23:22:30;16350.018931191818
2035-01-01 23:37:30;15995.205489561695
2035-01-01 23:52:30;15692.619260134137
2035-01-02 00:07:30;15539.668138683768
2035-01-02 00:22:30;15414.074128387125
2035-01-02 00:37:30;15123.922949483987
2035-01-02 00:52:30;14919.988120883496
2035-01-02 01:07:30;14781.959060062432
2035-01-02 01:22:30;14627.764433559621
2035-01-02 01:37:30;14625.277423454738
2035-01-02 01:52:30;14697.815218180522
2035-01-02 02:07:30;14664.655083448735
2035-01-02 02:22:30;14531.60004283744
