Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2045-01-01 00:00:00;2045-01-01 00:15:00;2045-01-01 00:07:30;31231,698370108854
2045-01-01 00:15:00;2045-01-01 00:30:00;2045-01-01 00:22:30;30975,012748231085
2045-01-01 00:30:00;2045-01-01 00:45:00;2045-01-01 00:37:30;30873,307124468196
2045-01-01 00:45:00;2045-01-01 01:00:00;2045-01-01 00:52:30;30729,62775121586
2045-01-01 01:00:00;2045-01-01 01:15:00;2045-01-01 01:07:30;30457,605567024642
2045-01-01 01:15:00;2045-01-01 01:30:00;2045-01-01 01:22:30;30377,694005496654
2045-01-01 01:30:00;2045-01-01 01:45:00;2045-01-01 01:37:30;30708,640876471138
2045-01-01 01:45:00;2045-01-01 02:00:00;2045-01-01 01:52:30;30429,35400486828
2045-01-01 02:00:00;2045-01-01 02:15:00;2045-01-01 02:07:30;30089,5280715018
2045-01-01 02:15:00;2045-01-01 02:30:00;2045-01-01 02:22:30;29920,018698563654
2045-01-01 02:30:00;2045-01-01 02:45:00;2045-01-01 02:37:30;29742,43745072369
2045-01-01 02:45:00;2045-01-01 03:00:00;2045-01-01 02:52:30;29517,232140963006
2045-01-01 03:00:00;2045-01-01 03:15:00;2045-01-01 03:07:30;29358,216205397217
2045-01-01 03:15:00;2045-01-01 03:30:00;2045-01-01 03:22:30;28944,129022934027
2045-01-01 03:30:00;2045-01-01 03:45:00;2045-01-01 03:37:30;28845,652149131864
2045-01-01 03:45:00;2045-01-01 04:00:00;2045-01-01 03:52:30;28869,060586347132
2045-01-01 04:00:00;2045-01-01 04:15:00;2045-01-01 04:07:30;28756,054337721696
2045-01-01 04:15:00;2045-01-01 04:30:00;2045-01-01 04:22:30;28590,58090223446
2045-01-01 04:30:00;2045-01-01 04:45:00;2045-01-01 04:37:30;28573,629964940643
2045-01-01 04:45:00;2045-01-01 05:00:00;2045-01-01 04:52:30;28655,96308893917
2045-01-01 05:00:00;2045-01-01 05:15:00;2045-01-01 05:07:30;28780,269962427148
2045-01-01 05:15:00;2045-01-01 05:30:00;2045-01-01 05:22:30;28778,655587446785
2045-01-01 05:30:00;2045-01-01 05:45:00;2045-01-01 05:37:30;28837,580274230044
2045-01-01 05:45:00;2045-01-01 06:00:00;2045-01-01 05:52:30;28699,55121340898
2045-01-01 06:00:00;2045-01-01 06:15:00;2045-01-01 06:07:30;28409,770904433764
2045-01-01 06:15:00;2045-01-01 06:30:00;2045-01-01 06:22:30;28567,97965250937
2045-01-01 06:30:00;2045-01-01 06:45:00;2045-01-01 06:37:30;28374,25465486577
2045-01-01 06:45:00;2045-01-01 07:00:00;2045-01-01 06:52:30;28402,50621702213
2045-01-01 07:00:00;2045-01-01 07:15:00;2045-01-01 07:07:30;28924,756523169664
2045-01-01 07:15:00;2045-01-01 07:30:00;2045-01-01 07:22:30;29107,9880834409
2045-01-01 07:30:00;2045-01-01 07:45:00;2045-01-01 07:37:30;29283,147768810322
2045-01-01 07:45:00;2045-01-01 08:00:00;2045-01-01 07:52:30;29475,25839147356
2045-01-01 08:00:00;2045-01-01 08:15:00;2045-01-01 08:07:30;29255,703394144148
2045-01-01 08:15:00;2045-01-01 08:30:00;2045-01-01 08:22:30;29486,5590163361
2045-01-01 08:30:00;2045-01-01 08:45:00;2045-01-01 08:37:30;29911,946823661838
2045-01-01 08:45:00;2045-01-01 09:00:00;2045-01-01 08:52:30;30258,23025694977
2045-01-01 09:00:00;2045-01-01 09:15:00;2045-01-01 09:07:30;30740,928376078406
2045-01-01 09:15:00;2045-01-01 09:30:00;2045-01-01 09:22:30;31468,20430473208
2045-01-01 09:30:00;2045-01-01 09:45:00;2045-01-01 09:37:30;32010,63429813416
2045-01-01 09:45:00;2045-01-01 10:00:00;2045-01-01 09:52:30;32432,793355499165
2045-01-01 10:00:00;2045-01-01 10:15:00;2045-01-01 10:07:30;32211,62398318939
2045-01-01 10:15:00;2045-01-01 10:30:00;2045-01-01 10:22:30;32762,125851493285
2045-01-01 10:30:00;2045-01-01 10:45:00;2045-01-01 10:37:30;33446,62084316734
2045-01-01 10:45:00;2045-01-01 11:00:00;2045-01-01 10:52:30;33976,135836726506
2045-01-01 11:00:00;2045-01-01 11:15:00;2045-01-01 11:07:30;34396,68051911115
2045-01-01 11:15:00;2045-01-01 11:30:00;2045-01-01 11:22:30;35205,48238427317
2045-01-01 11:30:00;2045-01-01 11:45:00;2045-01-01 11:37:30;35714,01050308762
2045-01-01 11:45:00;2045-01-01 12:00:00;2045-01-01 11:52:30;35789,8861271647
2045-01-01 12:00:00;2045-01-01 12:15:00;2045-01-01 12:07:30;35801,99393951742
2045-01-01 12:15:00;2045-01-01 12:30:00;2045-01-01 12:22:30;35882,71268853559
2045-01-01 12:30:00;2045-01-01 12:45:00;2045-01-01 12:37:30;35676,072691049085
2045-01-01 12:45:00;2045-01-01 13:00:00;2045-01-01 12:52:30;35368,53425728987
2045-01-01 13:00:00;2045-01-01 13:15:00;2045-01-01 13:07:30;35471,04706854294
2045-01-01 13:15:00;2045-01-01 13:30:00;2045-01-01 13:22:30;35295,88738317352
2045-01-01 13:30:00;2045-01-01 13:45:00;2045-01-01 13:37:30;35146,557697489916
2045-01-01 13:45:00;2045-01-01 14:00:00;2045-01-01 13:52:30;34930,23145012123
2045-01-01 14:00:00;2045-01-01 14:15:00;2045-01-01 14:07:30;34900,36551298451
2045-01-01 14:15:00;2045-01-01 14:30:00;2045-01-01 14:22:30;34807,53895161361
2045-01-01 14:30:00;2045-01-01 14:45:00;2045-01-01 14:37:30;35003,68551172776
2045-01-01 14:45:00;2045-01-01 15:00:00;2045-01-01 14:52:30;34872,11395082815
2045-01-01 15:00:00;2045-01-01 15:15:00;2045-01-01 15:07:30;35234,541133919716
2045-01-01 15:15:00;2045-01-01 15:30:00;2045-01-01 15:22:30;35123,956447764824
2045-01-01 15:30:00;2045-01-01 15:45:00;2045-01-01 15:37:30;35313,64550795752
2045-01-01 15:45:00;2045-01-01 16:00:00;2045-01-01 15:52:30;35397,59300693641
2045-01-01 16:00:00;2045-01-01 16:15:00;2045-01-01 16:07:30;36015,09143692538
2045-01-01 16:15:00;2045-01-01 16:30:00;2045-01-01 16:22:30;36500,21111852456
2045-01-01 16:30:00;2045-01-01 16:45:00;2045-01-01 16:37:30;37081,38611145536
2045-01-01 16:45:00;2045-01-01 17:00:00;2045-01-01 16:52:30;37856,28610202975
2045-01-01 17:00:00;2045-01-01 17:15:00;2045-01-01 17:07:30;38873,342339658644
2045-01-01 17:15:00;2045-01-01 17:30:00;2045-01-01 17:22:30;39201,86764816258
2045-01-01 17:30:00;2045-01-01 17:45:00;2045-01-01 17:37:30;39532,814519137064
2045-01-01 17:45:00;2045-01-01 18:00:00;2045-01-01 17:52:30;39735,41857917266
2045-01-01 18:00:00;2045-01-01 18:15:00;2045-01-01 18:07:30;39789,50014101483
2045-01-01 18:15:00;2045-01-01 18:30:00;2045-01-01 18:22:30;39638,55608035086
2045-01-01 18:30:00;2045-01-01 18:45:00;2045-01-01 18:37:30;39381,870458473095
2045-01-01 18:45:00;2045-01-01 19:00:00;2045-01-01 18:52:30;39017,82890040116
2045-01-01 19:00:00;2045-01-01 19:15:00;2045-01-01 19:07:30;38976,6623384019
2045-01-01 19:15:00;2045-01-01 19:30:00;2045-01-01 19:22:30;38533,51640629217
2045-01-01 19:30:00;2045-01-01 19:45:00;2045-01-01 19:37:30;38166,24609825951
2045-01-01 19:45:00;2045-01-01 20:00:00;2045-01-01 19:52:30;37587,492667799255
2045-01-01 20:00:00;2045-01-01 20:15:00;2045-01-01 20:07:30;37162,104860473526
2045-01-01 20:15:00;2045-01-01 20:30:00;2045-01-01 20:22:30;36559,13580530782
2045-01-01 20:30:00;2045-01-01 20:45:00;2045-01-01 20:37:30;35901,27800080977
2045-01-01 20:45:00;2045-01-01 21:00:00;2045-01-01 20:52:30;35295,08019568334
2045-01-01 21:00:00;2045-01-01 21:15:00;2045-01-01 21:07:30;35278,12925838953
2045-01-01 21:15:00;2045-01-01 21:30:00;2045-01-01 21:22:30;34965,74769968922
2045-01-01 21:30:00;2045-01-01 21:45:00;2045-01-01 21:37:30;34727,62739008563
2045-01-01 21:45:00;2045-01-01 22:00:00;2045-01-01 21:52:30;34583,948016833296
2045-01-01 22:00:00;2045-01-01 22:15:00;2045-01-01 22:07:30;34911,66613784705
2045-01-01 22:15:00;2045-01-01 22:30:00;2045-01-01 22:22:30;34453,990830914045
2045-01-01 22:30:00;2045-01-01 22:45:00;2045-01-01 22:37:30;33933,354899746875
2045-01-01 22:45:00;2045-01-01 23:00:00;2045-01-01 22:52:30;33206,0789710932
2045-01-01 23:00:00;2045-01-01 23:15:00;2045-01-01 23:07:30;32673,3352275733
2045-01-01 23:15:00;2045-01-01 23:30:00;2045-01-01 23:22:30;31839,510550215644
2045-01-01 23:30:00;2045-01-01 23:45:00;2045-01-01 23:37:30;31148,558058620143
2045-01-01 23:45:00;2045-01-02 00:00:00;2045-01-01 23:52:30;30559,31119078753
2045-01-02 00:00:00;2045-01-02 00:15:00;2045-01-02 00:07:30;30261,459006910496
2045-01-02 00:15:00;2045-01-02 00:30:00;2045-01-02 00:22:30;30016,881197385454
2045-01-02 00:30:00;2045-01-02 00:45:00;2045-01-02 00:37:30;29451,84995425829
2045-01-02 00:45:00;2045-01-02 01:00:00;2045-01-02 00:52:30;29054,713709088912
2045-01-02 01:00:00;2045-01-02 01:15:00;2045-01-02 01:07:30;28785,920274858418
2045-01-02 01:15:00;2045-01-02 01:30:00;2045-01-02 01:22:30;28485,646528510842
2045-01-02 01:30:00;2045-01-02 01:45:00;2045-01-02 01:37:30;28480,803403569753
2045-01-02 01:45:00;2045-01-02 02:00:00;2045-01-02 01:52:30;28622,061214351543
2045-01-02 02:00:00;2045-01-02 02:15:00;2045-01-02 02:07:30;28557,48621513701
2045-01-02 02:15:00;2045-01-02 02:30:00;2045-01-02 02:22:30;28298,379030788696
2045-01-02 02:30:00;2045-01-02 02:45:00;2045-01-02 02:37:30;28418,649966825764
2045-01-02 02:45:00;2045-01-02 03:00:00;2045-01-02 02:52:30;28649,505589017717
2045-01-02 03:00:00;2045-01-02 03:15:00;2045-01-02 03:07:30;28894,890586032943
2045-01-02 03:15:00;2045-01-02 03:30:00;2045-01-02 03:22:30;28948,972147875116
2045-01-02 03:30:00;2045-01-02 03:45:00;2045-01-02 03:37:30;29131,39652065617
2045-01-02 03:45:00;2045-01-02 04:00:00;2045-01-02 03:52:30;29448,621204297564
2045-01-02 04:00:00;2045-01-02 04:15:00;2045-01-02 04:07:30;29824,770574722217
2045-01-02 04:15:00;2045-01-02 04:30:00;2045-01-02 04:22:30;30244,50806961668
2045-01-02 04:30:00;2045-01-02 04:45:00;2045-01-02 04:37:30;30724,78462627477
2045-01-02 04:45:00;2045-01-02 05:00:00;2045-01-02 04:52:30;31239,77024501067
2045-01-02 05:00:00;2045-01-02 05:15:00;2045-01-02 05:07:30;31883,905862175638
2045-01-02 05:15:00;2045-01-02 05:30:00;2045-01-02 05:22:30;32455,394605224254
2045-01-02 05:30:00;2045-01-02 05:45:00;2045-01-02 05:37:30;33243,20959564156
2045-01-02 05:45:00;2045-01-02 06:00:00;2045-01-02 05:52:30;34470,134580717684
2045-01-02 06:00:00;2045-01-02 06:15:00;2045-01-02 06:07:30;36326,665808135505
2045-01-02 06:15:00;2045-01-02 06:30:00;2045-01-02 06:22:30;37493,051731448
2045-01-02 06:30:00;2045-01-02 06:45:00;2045-01-02 06:37:30;38661,052029740866
2045-01-02 06:45:00;2045-01-02 07:00:00;2045-01-02 06:52:30;39494,87670709853
2045-01-02 07:00:00;2045-01-02 07:15:00;2045-01-02 07:07:30;40695,971692488834
2045-01-02 07:15:00;2045-01-02 07:30:00;2045-01-02 07:22:30;41694,46261784355
2045-01-02 07:30:00;2045-01-02 07:45:00;2045-01-02 07:37:30;42817,260416686244
2045-01-02 07:45:00;2045-01-02 08:00:00;2045-01-02 07:52:30;43711,62415580753
2045-01-02 08:00:00;2045-01-02 08:15:00;2045-01-02 08:07:30;44842,49382955203
2045-01-02 08:15:00;2045-01-02 08:30:00;2045-01-02 08:22:30;45226,715074878506
2045-01-02 08:30:00;2045-01-02 08:45:00;2045-01-02 08:37:30;45695,69100667405
2045-01-02 08:45:00;2045-01-02 09:00:00;2045-01-02 08:52:30;45790,939130515486
2045-01-02 09:00:00;2045-01-02 09:15:00;2045-01-02 09:07:30;46150,94475113651
2045-01-02 09:15:00;2045-01-02 09:30:00;2045-01-02 09:22:30;46015,33725278599
2045-01-02 09:30:00;2045-01-02 09:45:00;2045-01-02 09:37:30;46426,195685288454
2045-01-02 09:45:00;2045-01-02 10:00:00;2045-01-02 09:52:30;46882,256617241095
2045-01-02 10:00:00;2045-01-02 10:15:00;2045-01-02 10:07:30;47282,6216123712
2045-01-02 10:15:00;2045-01-02 10:30:00;2045-01-02 10:22:30;47636,16973307077
2045-01-02 10:30:00;2045-01-02 10:45:00;2045-01-02 10:37:30;48027,655665808874
2045-01-02 10:45:00;2045-01-02 11:00:00;2045-01-02 10:52:30;48327,929412156445
2045-01-02 11:00:00;2045-01-02 11:15:00;2045-01-02 11:07:30;48268,197537883
2045-01-02 11:15:00;2045-01-02 11:30:00;2045-01-02 11:22:30;48874,39534300943
2045-01-02 11:30:00;2045-01-02 11:45:00;2045-01-02 11:37:30;49114,93721508357
2045-01-02 11:45:00;2045-01-02 12:00:00;2045-01-02 11:52:30;49580,68439691839
2045-01-02 12:00:00;2045-01-02 12:15:00;2045-01-02 12:07:30;49825,26220644343
2045-01-02 12:15:00;2045-01-02 12:30:00;2045-01-02 12:22:30;49660,59595844637
2045-01-02 12:30:00;2045-01-02 12:45:00;2045-01-02 12:37:30;49788,131581895075
2045-01-02 12:45:00;2045-01-02 13:00:00;2045-01-02 12:52:30;49525,795647586034
2045-01-02 13:00:00;2045-01-02 13:15:00;2045-01-02 13:07:30;49199,691901552644
2045-01-02 13:15:00;2045-01-02 13:30:00;2045-01-02 13:22:30;48863,09471814689
2045-01-02 13:30:00;2045-01-02 13:45:00;2045-01-02 13:37:30;48761,389094384
2045-01-02 13:45:00;2045-01-02 14:00:00;2045-01-02 13:52:30;48347,30191192081
2045-01-02 14:00:00;2045-01-02 14:15:00;2045-01-02 14:07:30;47892,85535494854
2045-01-02 14:15:00;2045-01-02 14:30:00;2045-01-02 14:22:30;47713,6597321282
2045-01-02 14:30:00;2045-01-02 14:45:00;2045-01-02 14:37:30;47812,94379342055
2045-01-02 14:45:00;2045-01-02 15:00:00;2045-01-02 14:52:30;47684,600982481665
2045-01-02 15:00:00;2045-01-02 15:15:00;2045-01-02 15:07:30;48020,390978397234
2045-01-02 15:15:00;2045-01-02 15:30:00;2045-01-02 15:22:30;47644,24160797258
2045-01-02 15:30:00;2045-01-02 15:45:00;2045-01-02 15:37:30;47412,578798290444
2045-01-02 15:45:00;2045-01-02 16:00:00;2045-01-02 15:52:30;47464,238797662074
2045-01-02 16:00:00;2045-01-02 16:15:00;2045-01-02 16:07:30;47769,35566895074
2045-01-02 16:15:00;2045-01-02 16:30:00;2045-01-02 16:22:30;48166,49191412012
2045-01-02 16:30:00;2045-01-02 16:45:00;2045-01-02 16:37:30;48431,2494108997
2045-01-02 16:45:00;2045-01-02 17:00:00;2045-01-02 16:52:30;48988,208779125045
