Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2029-01-01 00:00:00;2029-01-01 00:15:00;2029-01-01 00:07:30;13277,69230707601
2029-01-01 00:15:00;2029-01-01 00:30:00;2029-01-01 00:22:30;13168,566230531758
2029-01-01 00:30:00;2029-01-01 00:45:00;2029-01-01 00:37:30;13125,32759642932
2029-01-01 00:45:00;2029-01-01 01:00:00;2029-01-01 00:52:30;13064,244446665556
2029-01-01 01:00:00;2029-01-01 01:15:00;2029-01-01 01:07:30;12948,598258629667
2029-01-01 01:15:00;2029-01-01 01:30:00;2029-01-01 01:22:30;12914,625046120607
2029-01-01 01:30:00;2029-01-01 01:45:00;2029-01-01 01:37:30;13055,322188834894
2029-01-01 01:45:00;2029-01-01 02:00:00;2029-01-01 01:52:30;12936,587526934545
2029-01-01 02:00:00;2029-01-01 02:15:00;2029-01-01 02:07:30;12792,115582830364
2029-01-01 02:15:00;2029-01-01 02:30:00;2029-01-01 02:22:30;12720,051192659632
2029-01-01 02:30:00;2029-01-01 02:45:00;2029-01-01 02:37:30;12644,555164861722
2029-01-01 02:45:00;2029-01-01 03:00:00;2029-01-01 02:52:30;12548,812475063463
2029-01-01 03:00:00;2029-01-01 03:15:00;2029-01-01 03:07:30;12481,209213808062
2029-01-01 03:15:00;2029-01-01 03:30:00;2029-01-01 03:22:30;12305,166203533847
2029-01-01 03:30:00;2029-01-01 03:45:00;2029-01-01 03:37:30;12263,300224482278
2029-01-01 03:45:00;2029-01-01 04:00:00;2029-01-01 03:52:30;12273,251973601093
2029-01-01 04:00:00;2029-01-01 04:15:00;2029-01-01 04:07:30;12225,209046820606
2029-01-01 04:15:00;2029-01-01 04:30:00;2029-01-01 04:22:30;12154,860475463462
2029-01-01 04:30:00;2029-01-01 04:45:00;2029-01-01 04:37:30;12147,654036446389
2029-01-01 04:45:00;2029-01-01 05:00:00;2029-01-01 04:52:30;12182,656740243601
2029-01-01 05:00:00;2029-01-01 05:15:00;2029-01-01 05:07:30;12235,503959702139
2029-01-01 05:15:00;2029-01-01 05:30:00;2029-01-01 05:22:30;12234,817632176702
2029-01-01 05:30:00;2029-01-01 05:45:00;2029-01-01 05:37:30;12259,8685868551
2029-01-01 05:45:00;2029-01-01 06:00:00;2029-01-01 05:52:30;12201,187583430361
2029-01-01 06:00:00;2029-01-01 06:15:00;2029-01-01 06:07:30;12077,99179261468
2029-01-01 06:15:00;2029-01-01 06:30:00;2029-01-01 06:22:30;12145,251890107365
2029-01-01 06:30:00;2029-01-01 06:45:00;2029-01-01 06:37:30;12062,8925870551
2029-01-01 06:45:00;2029-01-01 07:00:00;2029-01-01 06:52:30;12074,903318750221
2029-01-01 07:00:00;2029-01-01 07:15:00;2029-01-01 07:07:30;12296,93027322862
2029-01-01 07:15:00;2029-01-01 07:30:00;2029-01-01 07:22:30;12374,828447365553
2029-01-01 07:30:00;2029-01-01 07:45:00;2029-01-01 07:37:30;12449,29498387531
2029-01-01 07:45:00;2029-01-01 08:00:00;2029-01-01 07:52:30;12530,96795940214
2029-01-01 08:00:00;2029-01-01 08:15:00;2029-01-01 08:07:30;12437,627415942907
2029-01-01 08:15:00;2029-01-01 08:30:00;2029-01-01 08:22:30;12535,772252080189
2029-01-01 08:30:00;2029-01-01 08:45:00;2029-01-01 08:37:30;12716,619555032454
2029-01-01 08:45:00;2029-01-01 09:00:00;2029-01-01 08:52:30;12863,836809238377
2029-01-01 09:00:00;2029-01-01 09:15:00;2029-01-01 09:07:30;13069,048739343605
2029-01-01 09:15:00;2029-01-01 09:30:00;2029-01-01 09:22:30;13378,239289552317
2029-01-01 09:30:00;2029-01-01 09:45:00;2029-01-01 09:37:30;13608,84533809866
2029-01-01 09:45:00;2029-01-01 10:00:00;2029-01-01 09:52:30;13788,319986000055
2029-01-01 10:00:00;2029-01-01 10:15:00;2029-01-01 10:07:30;13694,293115015385
2029-01-01 10:15:00;2029-01-01 10:30:00;2029-01-01 10:22:30;13928,330801188904
2029-01-01 10:30:00;2029-01-01 10:45:00;2029-01-01 10:37:30;14219,333671973574
2029-01-01 10:45:00;2029-01-01 11:00:00;2029-01-01 10:52:30;14444,449100316433
2029-01-01 11:00:00;2029-01-01 11:15:00;2029-01-01 11:07:30;14623,237420692392
2029-01-01 11:15:00;2029-01-01 11:30:00;2029-01-01 11:22:30;14967,087510935598
2029-01-01 11:30:00;2029-01-01 11:45:00;2029-01-01 11:37:30;15183,280681447795
2029-01-01 11:45:00;2029-01-01 12:00:00;2029-01-01 11:52:30;15215,538075143266
2029-01-01 12:00:00;2029-01-01 12:15:00;2029-01-01 12:07:30;15220,685531584031
2029-01-01 12:15:00;2029-01-01 12:30:00;2029-01-01 12:22:30;15255,001907855809
2029-01-01 12:30:00;2029-01-01 12:45:00;2029-01-01 12:37:30;15167,15198460006
2029-01-01 12:45:00;2029-01-01 13:00:00;2029-01-01 12:52:30;15036,406591004588
2029-01-01 13:00:00;2029-01-01 13:15:00;2029-01-01 13:07:30;15079,988388869746
2029-01-01 13:15:00;2029-01-01 13:30:00;2029-01-01 13:22:30;15005,521852359989
2029-01-01 13:30:00;2029-01-01 13:45:00;2029-01-01 13:37:30;14942,0365562572
2029-01-01 13:45:00;2029-01-01 14:00:00;2029-01-01 13:52:30;14850,068667848838
2029-01-01 14:00:00;2029-01-01 14:15:00;2029-01-01 14:07:30;14837,371608628282
2029-01-01 14:15:00;2029-01-01 14:30:00;2029-01-01 14:22:30;14797,907775915737
2029-01-01 14:30:00;2029-01-01 14:45:00;2029-01-01 14:37:30;14881,296570256156
2029-01-01 14:45:00;2029-01-01 15:00:00;2029-01-01 14:52:30;14825,360876933159
2029-01-01 15:00:00;2029-01-01 15:15:00;2029-01-01 15:07:30;14979,441406393438
2029-01-01 15:15:00;2029-01-01 15:30:00;2029-01-01 15:22:30;14932,427970901104
2029-01-01 15:30:00;2029-01-01 15:45:00;2029-01-01 15:37:30;15013,07145513978
2029-01-01 15:45:00;2029-01-01 16:00:00;2029-01-01 15:52:30;15048,760486462428
2029-01-01 16:00:00;2029-01-01 16:15:00;2029-01-01 16:07:30;15311,280764941523
2029-01-01 16:15:00;2029-01-01 16:30:00;2029-01-01 16:22:30;15517,522186334903
2029-01-01 16:30:00;2029-01-01 16:45:00;2029-01-01 16:37:30;15764,6000954917
2029-01-01 16:45:00;2029-01-01 17:00:00;2029-01-01 16:52:30;16094,03730770076
2029-01-01 17:00:00;2029-01-01 17:15:00;2029-01-01 17:07:30;16526,42364872515
2029-01-01 17:15:00;2029-01-01 17:30:00;2029-01-01 17:22:30;16666,091300151285
2029-01-01 17:30:00;2029-01-01 17:45:00;2029-01-01 17:37:30;16806,78844286557
2029-01-01 17:45:00;2029-01-01 18:00:00;2029-01-01 17:52:30;16892,92254730773
2029-01-01 18:00:00;2029-01-01 18:15:00;2029-01-01 18:07:30;16915,914519409824
2029-01-01 18:15:00;2029-01-01 18:30:00;2029-01-01 18:22:30;16851,7428957816
2029-01-01 18:30:00;2029-01-01 18:45:00;2029-01-01 18:37:30;16742,616819237348
2029-01-01 18:45:00;2029-01-01 19:00:00;2029-01-01 18:52:30;16587,849962251632
2029-01-01 19:00:00;2029-01-01 19:15:00;2029-01-01 19:07:30;16570,348610353027
2029-01-01 19:15:00;2029-01-01 19:30:00;2029-01-01 19:22:30;16381,95170462097
2029-01-01 19:30:00;2029-01-01 19:45:00;2029-01-01 19:37:30;16225,812192584384
2029-01-01 19:45:00;2029-01-01 20:00:00;2029-01-01 19:52:30;15979,763774715742
2029-01-01 20:00:00;2029-01-01 20:15:00;2029-01-01 20:07:30;15798,916471763476
2029-01-01 20:15:00;2029-01-01 20:30:00;2029-01-01 20:22:30;15542,573141013301
2029-01-01 20:30:00;2029-01-01 20:45:00;2029-01-01 20:37:30;15262,894674398318
2029-01-01 20:45:00;2029-01-01 21:00:00;2029-01-01 20:52:30;15005,17868859727
2029-01-01 21:00:00;2029-01-01 21:15:00;2029-01-01 21:07:30;14997,972249580198
2029-01-01 21:15:00;2029-01-01 21:30:00;2029-01-01 21:22:30;14865,16787340842
2029-01-01 21:30:00;2029-01-01 21:45:00;2029-01-01 21:37:30;14763,934563406678
2029-01-01 21:45:00;2029-01-01 22:00:00;2029-01-01 21:52:30;14702,851413642915
2029-01-01 22:00:00;2029-01-01 22:15:00;2029-01-01 22:07:30;14842,17590130633
2029-01-01 22:15:00;2029-01-01 22:30:00;2029-01-01 22:22:30;14647,602047845354
2029-01-01 22:30:00;2029-01-01 22:45:00;2029-01-01 22:37:30;14426,261420892391
2029-01-01 22:45:00;2029-01-01 23:00:00;2029-01-01 22:52:30;14117,07087068368
2029-01-01 23:00:00;2029-01-01 23:15:00;2029-01-01 23:07:30;13890,58278728995
2029-01-01 23:15:00;2029-01-01 23:30:00;2029-01-01 23:22:30;13536,094620402491
2029-01-01 23:30:00;2029-01-01 23:45:00;2029-01-01 23:37:30;13242,346439516079
2029-01-01 23:45:00;2029-01-02 00:00:00;2029-01-01 23:52:30;12991,836892732106
2029-01-02 00:00:00;2029-01-02 00:15:00;2029-01-02 00:07:30;12865,20946428925
2029-01-02 00:15:00;2029-01-02 00:30:00;2029-01-02 00:22:30;12761,230844185764
2029-01-02 00:30:00;2029-01-02 00:45:00;2029-01-02 00:37:30;12521,016210283324
2029-01-02 00:45:00;2029-01-02 01:00:00;2029-01-02 00:52:30;12352,17963902618
2029-01-02 01:00:00;2029-01-02 01:15:00;2029-01-02 01:07:30;12237,906106041162
2029-01-02 01:15:00;2029-01-02 01:30:00;2029-01-02 01:22:30;12110,249186310151
2029-01-02 01:30:00;2029-01-02 01:45:00;2029-01-02 01:37:30;12108,190203733846
2029-01-02 01:45:00;2029-01-02 02:00:00;2029-01-02 01:52:30;12168,243862209456
2029-01-02 02:00:00;2029-01-02 02:15:00;2029-01-02 02:07:30;12140,790761192035
2029-01-02 02:15:00;2029-01-02 02:30:00;2029-01-02 02:22:30;12030,635193359629
2029-01-02 02:30:00;2029-01-02 02:45:00;2029-01-02 02:37:30;12081,766594004577
2029-01-02 02:45:00;2029-01-02 03:00:00;2029-01-02 02:52:30;12179,91143014186
2029-01-02 03:00:00;2029-01-02 03:15:00;2029-01-02 03:07:30;12284,233214008062
2029-01-02 03:15:00;2029-01-02 03:30:00;2029-01-02 03:22:30;12307,225186110152
