Anteil EE Kategorie;2020;2021;2022;2023;2024;2025
0-10%;0,0;0,0;0,0;0,0;0,0;0,0
10-20%;5,495787795992714;8,182077625570775;6,700913242009133;4,860159817351598;3,810906193078324;4,375685307017544
20-30%;15,79861111111111;22,708333333333332;17,0291095890411;12,485730593607306;12,687841530054644;15,830592105263158
30-40%;18,237704918032787;21,264269406392692;17,480022831050228;14,1837899543379;14,845173041894352;12,815241228070176
40-50%;17,332650273224044;16,34417808219178;14,54337899543379;13,584474885844749;15,089936247723132;13,490268640350877
50-60%;15,52823315118397;12,890981735159817;14,931506849315069;13,86700913242009;13,94011839708561;12,181332236842106
60-70%;12,08162568306011;8,801369863013699;11,969178082191782;12,819634703196348;12,670765027322403;9,625137061403509
70-80%;7,997495446265939;5,3881278538812785;8,407534246575342;11,218607305936073;10,248747723132968;8,991228070175438
80-90%;4,906648451730419;2,996575342465753;5,933219178082192;7,913812785388127;7,180669398907104;7,829632675438597
90-100%;2,07764116575592;1,127283105022831;2,6797945205479454;5,539383561643835;4,960724043715848;6,1300712719298245
>100%;0,5436020036429873;0,2968036529680365;0,3253424657534247;3,5273972602739727;4,565118397085611;8,730811403508772
