Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2028-01-01 00:00:00;2028-01-01 00:15:00;2028-01-01 00:07:30;12986,47782227364
2028-01-01 00:15:00;2028-01-01 00:30:00;2028-01-01 00:22:30;12879,74516571717
2028-01-01 00:30:00;2028-01-01 00:45:00;2028-01-01 00:37:30;12837,454867836303
2028-01-01 00:45:00;2028-01-01 01:00:00;2028-01-01 00:52:30;12777,71143114746
2028-01-01 01:00:00;2028-01-01 01:15:00;2028-01-01 01:07:30;12664,60166618038
2028-01-01 01:15:00;2028-01-01 01:30:00;2028-01-01 01:22:30;12631,37357498827
2028-01-01 01:30:00;2028-01-01 01:45:00;2028-01-01 01:37:30;12768,98486174347
2028-01-01 01:45:00;2028-01-01 02:00:00;2028-01-01 01:52:30;12652,854361213473
2028-01-01 02:00:00;2028-01-01 02:15:00;2028-01-01 02:07:30;12511,551064325817
2028-01-01 02:15:00;2028-01-01 02:30:00;2028-01-01 02:22:30;12441,067234524373
2028-01-01 02:30:00;2028-01-01 02:45:00;2028-01-01 02:37:30;12367,227031875242
2028-01-01 02:45:00;2028-01-01 03:00:00;2028-01-01 02:52:30;12273,584229424752
2028-01-01 03:00:00;2028-01-01 03:15:00;2028-01-01 03:07:30;12207,463684325303
2028-01-01 03:15:00;2028-01-01 03:30:00;2028-01-01 03:22:30;12035,281757238918
2028-01-01 03:30:00;2028-01-01 03:45:00;2028-01-01 03:37:30;11994,334008497126
2028-01-01 03:45:00;2028-01-01 04:00:00;2028-01-01 03:52:30;12004,067489755422
2028-01-01 04:00:00;2028-01-01 04:15:00;2028-01-01 04:07:30;11957,078269887792
2028-01-01 04:15:00;2028-01-01 04:30:00;2028-01-01 04:22:30;11888,272626510192
2028-01-01 04:30:00;2028-01-01 04:45:00;2028-01-01 04:37:30;11881,224243530049
2028-01-01 04:45:00;2028-01-01 05:00:00;2028-01-01 04:52:30;11915,459246576464
2028-01-01 05:00:00;2028-01-01 05:15:00;2028-01-01 05:07:30;11967,147388430856
2028-01-01 05:15:00;2028-01-01 05:30:00;2028-01-01 05:22:30;11966,476113861318
2028-01-01 05:30:00;2028-01-01 05:45:00;2028-01-01 05:37:30;11990,977635649439
2028-01-01 05:45:00;2028-01-01 06:00:00;2028-01-01 05:52:30;11933,583659953978
2028-01-01 06:00:00;2028-01-01 06:15:00;2028-01-01 06:07:30;11813,089874721985
2028-01-01 06:15:00;2028-01-01 06:30:00;2028-01-01 06:22:30;11878,874782536666
2028-01-01 06:30:00;2028-01-01 06:45:00;2028-01-01 06:37:30;11798,321834192158
2028-01-01 06:45:00;2028-01-01 07:00:00;2028-01-01 06:52:30;11810,069139159066
2028-01-01 07:00:00;2028-01-01 07:15:00;2028-01-01 07:07:30;12027,226462404467
2028-01-01 07:15:00;2028-01-01 07:30:00;2028-01-01 07:22:30;12103,416126046981
2028-01-01 07:30:00;2028-01-01 07:45:00;2028-01-01 07:37:30;12176,249416841805
2028-01-01 07:45:00;2028-01-01 08:00:00;2028-01-01 07:52:30;12256,131090616775
2028-01-01 08:00:00;2028-01-01 08:15:00;2028-01-01 08:07:30;12164,837749159668
2028-01-01 08:15:00;2028-01-01 08:30:00;2028-01-01 08:22:30;12260,830012603537
2028-01-01 08:30:00;2028-01-01 08:45:00;2028-01-01 08:37:30;12437,710861676685
2028-01-01 08:45:00;2028-01-01 09:00:00;2028-01-01 08:52:30;12581,699256842492
2028-01-01 09:00:00;2028-01-01 09:15:00;2028-01-01 09:07:30;12782,410353134223
2028-01-01 09:15:00;2028-01-01 09:30:00;2028-01-01 09:22:30;13084,819546710893
2028-01-01 09:30:00;2028-01-01 09:45:00;2028-01-01 09:37:30;13310,367802075514
2028-01-01 09:45:00;2028-01-01 10:00:00;2028-01-01 09:52:30;13485,906102009585
2028-01-01 10:00:00;2028-01-01 10:15:00;2028-01-01 10:07:30;13393,94148598294
2028-01-01 10:15:00;2028-01-01 10:30:00;2028-01-01 10:22:30;13622,846114195248
2028-01-01 10:30:00;2028-01-01 10:45:00;2028-01-01 10:37:30;13907,466531679174
2028-01-01 10:45:00;2028-01-01 11:00:00;2028-01-01 10:52:30;14127,644590487493
2028-01-01 11:00:00;2028-01-01 11:15:00;2028-01-01 11:07:30;14302,511615852027
2028-01-01 11:15:00;2028-01-01 11:30:00;2028-01-01 11:22:30;14638,820175190345
2028-01-01 11:30:00;2028-01-01 11:45:00;2028-01-01 11:37:30;14850,271664594677
2028-01-01 11:45:00;2028-01-01 12:00:00;2028-01-01 11:52:30;14881,821569362943
2028-01-01 12:00:00;2028-01-01 12:15:00;2028-01-01 12:07:30;14886,856128634474
2028-01-01 12:15:00;2028-01-01 12:30:00;2028-01-01 12:22:30;14920,419857111352
2028-01-01 12:30:00;2028-01-01 12:45:00;2028-01-01 12:37:30;14834,496712210545
2028-01-01 12:45:00;2028-01-01 13:00:00;2028-01-01 12:52:30;14706,618906713638
2028-01-01 13:00:00;2028-01-01 13:15:00;2028-01-01 13:07:30;14749,244841879274
2028-01-01 13:15:00;2028-01-01 13:30:00;2028-01-01 13:22:30;14676,41155108445
2028-01-01 13:30:00;2028-01-01 13:45:00;2028-01-01 13:37:30;14614,318653402224
2028-01-01 13:45:00;2028-01-01 14:00:00;2028-01-01 13:52:30;14524,36786108419
2028-01-01 14:00:00;2028-01-01 14:15:00;2028-01-01 14:07:30;14511,949281547746
2028-01-01 14:15:00;2028-01-01 14:30:00;2028-01-01 14:22:30;14473,350993799337
2028-01-01 14:30:00;2028-01-01 14:45:00;2028-01-01 14:37:30;14554,91085399815
