timestamp	month	day_type	value_kWh
2000-01-01 00:00:00	1	SA	15,045
2000-01-01 00:15:00	1	SA	14,908
2000-01-01 00:30:00	1	SA	14,785
2000-01-01 00:45:00	1	SA	14,739
2000-01-01 01:00:00	1	SA	14,674
2000-01-01 01:15:00	1	SA	14,591
2000-01-01 01:30:00	1	SA	14,549
2000-01-01 01:45:00	1	SA	14,421
2000-01-01 02:00:00	1	SA	14,328
2000-01-01 02:15:00	1	SA	14,227
2000-01-01 02:30:00	1	SA	14,077
2000-01-01 02:45:00	1	SA	14,269
2000-01-01 03:00:00	1	SA	14,308
2000-01-01 03:15:00	1	SA	14,346
2000-01-01 03:30:00	1	SA	14,413
2000-01-01 03:45:00	1	SA	14,433
2000-01-01 04:00:00	1	SA	14,443
2000-01-01 04:15:00	1	SA	14,806
2000-01-01 04:30:00	1	SA	15,082
2000-01-01 04:45:00	1	SA	15,566
2000-01-01 05:00:00	1	SA	16,137
2000-01-01 05:15:00	1	SA	16,577
2000-01-01 05:30:00	1	SA	17,451
2000-01-01 05:45:00	1	SA	18,179
2000-01-01 06:00:00	1	SA	18,881
2000-01-01 06:15:00	1	SA	19,115
2000-01-01 06:30:00	1	SA	19,467
2000-01-01 06:45:00	1	SA	20,072
2000-01-01 07:00:00	1	SA	20,6
2000-01-01 07:15:00	1	SA	21,219
2000-01-01 07:30:00	1	SA	21,908
2000-01-01 07:45:00	1	SA	23,183
2000-01-01 08:00:00	1	SA	24,553
2000-01-01 08:15:00	1	SA	25,289
2000-01-01 08:30:00	1	SA	26,229
2000-01-01 08:45:00	1	SA	27,973
2000-01-01 09:00:00	1	SA	29,561
2000-01-01 09:15:00	1	SA	30,544
2000-01-01 09:30:00	1	SA	32,123
2000-01-01 09:45:00	1	SA	33,654
2000-01-01 10:00:00	1	SA	34,535
2000-01-01 10:15:00	1	SA	34,712
2000-01-01 10:30:00	1	SA	35,127
2000-01-01 10:45:00	1	SA	34,966
2000-01-01 11:00:00	1	SA	34,689
2000-01-01 11:15:00	1	SA	35,257
2000-01-01 11:30:00	1	SA	35,145
2000-01-01 11:45:00	1	SA	34,392
2000-01-01 12:00:00	1	SA	33,241
2000-01-01 12:15:00	1	SA	32,689
2000-01-01 12:30:00	1	SA	32,189
2000-01-01 12:45:00	1	SA	31,454
2000-01-01 13:00:00	1	SA	29,806
2000-01-01 13:15:00	1	SA	29,05
2000-01-01 13:30:00	1	SA	28,526
2000-01-01 13:45:00	1	SA	27,997
2000-01-01 14:00:00	1	SA	27,202
2000-01-01 14:15:00	1	SA	26,128
2000-01-01 14:30:00	1	SA	25,603
2000-01-01 14:45:00	1	SA	25,569
2000-01-01 15:00:00	1	SA	25,494
2000-01-01 15:15:00	1	SA	25,346
2000-01-01 15:30:00	1	SA	25,049
2000-01-01 15:45:00	1	SA	25,106
2000-01-01 16:00:00	1	SA	24,571
2000-01-01 16:15:00	1	SA	24,222
2000-01-01 16:30:00	1	SA	24,582
2000-01-01 16:45:00	1	SA	24,8
2000-01-01 17:00:00	1	SA	24,934
2000-01-01 17:15:00	1	SA	25,22
2000-01-01 17:30:00	1	SA	25,446
2000-01-01 17:45:00	1	SA	25,099
2000-01-01 18:00:00	1	SA	24,327
2000-01-01 18:15:00	1	SA	23,456
2000-01-01 18:30:00	1	SA	22,986
2000-01-01 18:45:00	1	SA	22,624
2000-01-01 19:00:00	1	SA	22,25
2000-01-01 19:15:00	1	SA	21,811
2000-01-01 19:30:00	1	SA	21,343
2000-01-01 19:45:00	1	SA	20,987
2000-01-01 20:00:00	1	SA	20,515
2000-01-01 20:15:00	1	SA	19,95
2000-01-01 20:30:00	1	SA	19,505
2000-01-01 20:45:00	1	SA	18,956
2000-01-01 21:00:00	1	SA	18,269
2000-01-01 21:15:00	1	SA	18,03
2000-01-01 21:30:00	1	SA	17,774
2000-01-01 21:45:00	1	SA	17,198
2000-01-01 22:00:00	1	SA	16,558
2000-01-01 22:15:00	1	SA	16,312
2000-01-01 22:30:00	1	SA	16,133
2000-01-01 22:45:00	1	SA	15,735
2000-01-01 23:00:00	1	SA	15,531
2000-01-01 23:15:00	1	SA	15,508
2000-01-01 23:30:00	1	SA	15,33
2000-01-01 23:45:00	1	SA	14,994
2000-01-01 00:00:00	1	FT	14,658
2000-01-01 00:15:00	1	FT	14,602
2000-01-01 00:30:00	1	FT	14,43
2000-01-01 00:45:00	1	FT	14,244
2000-01-01 01:00:00	1	FT	14,226
2000-01-01 01:15:00	1	FT	14,113
