timestamp	month	day_type	value_kWh																																	
2000-01-01 00:00:00	1	SA	22,152																																	
2000-01-01 00:15:00	1	SA	20,809																																	
2000-01-01 00:30:00	1	SA	19,757																																	
2000-01-01 00:45:00	1	SA	18,889																																	
2000-01-01 01:00:00	1	SA	18,217																																	
2000-01-01 01:15:00	1	SA	17,53																																	
2000-01-01 01:30:00	1	SA	16,988																																	
2000-01-01 01:45:00	1	SA	16,399																																	
2000-01-01 02:00:00	1	SA	16,199																																	
2000-01-01 02:15:00	1	SA	15,893																																	
2000-01-01 02:30:00	1	SA	15,66																																	
2000-01-01 02:45:00	1	SA	15,442																																	
2000-01-01 03:00:00	1	SA	15,398																																	
2000-01-01 03:15:00	1	SA	15,219																																	
2000-01-01 03:30:00	1	SA	15,102																																	
2000-01-01 03:45:00	1	SA	15,029																																	
2000-01-01 04:00:00	1	SA	15,19																																	
2000-01-01 04:15:00	1	SA	15,066																																	
2000-01-01 04:30:00	1	SA	15,097																																	
2000-01-01 04:45:00	1	SA	15,312																																	
2000-01-01 05:00:00	1	SA	15,366																																	
2000-01-01 05:15:00	1	SA	15,192																																	
2000-01-01 05:30:00	1	SA	15,338																																	
2000-01-01 05:45:00	1	SA	15,819																																	
2000-01-01 06:00:00	1	SA	16,806																																	
2000-01-01 06:15:00	1	SA	17,632																																	
2000-01-01 06:30:00	1	SA	18,582																																	
2000-01-01 06:45:00	1	SA	19,477																																	
2000-01-01 07:00:00	1	SA	21,015																																	
2000-01-01 07:15:00	1	SA	22,34																																	
2000-01-01 07:30:00	1	SA	23,947																																	
2000-01-01 07:45:00	1	SA	25,491																																	
2000-01-01 08:00:00	1	SA	26,837																																	
2000-01-01 08:15:00	1	SA	28,317																																	
2000-01-01 08:30:00	1	SA	29,179																																	
2000-01-01 08:45:00	1	SA	30,038																																	
2000-01-01 09:00:00	1	SA	30,834																																	
2000-01-01 09:15:00	1	SA	31,737																																	
2000-01-01 09:30:00	1	SA	32,301																																	
2000-01-01 09:45:00	1	SA	32,771																																	
2000-01-01 10:00:00	1	SA	33,451																																	
2000-01-01 10:15:00	1	SA	34,172																																	
2000-01-01 10:30:00	1	SA	34,721																																	
2000-01-01 10:45:00	1	SA	35,472																																	
2000-01-01 11:00:00	1	SA	36,638																																	
2000-01-01 11:15:00	1	SA	37,602																																	
2000-01-01 11:30:00	1	SA	38,463																																	
2000-01-01 11:45:00	1	SA	38,883																																	
2000-01-01 12:00:00	1	SA	38,394																																	
2000-01-01 12:15:00	1	SA	37,981																																	
2000-01-01 12:30:00	1	SA	37,549																																	
2000-01-01 12:45:00	1	SA	37,194																																	
2000-01-01 13:00:00	1	SA	36,759																																	
2000-01-01 13:15:00	1	SA	36,299																																	
2000-01-01 13:30:00	1	SA	36,095																																	
2000-01-01 13:45:00	1	SA	35,686																																	
2000-01-01 14:00:00	1	SA	35,325																																	
2000-01-01 14:15:00	1	SA	35,331																																	
2000-01-01 14:30:00	1	SA	35,305																																	
2000-01-01 14:45:00	1	SA	35,132																																	
2000-01-01 15:00:00	1	SA	35,158																																	
2000-01-01 15:15:00	1	SA	35,179																																	
2000-01-01 15:30:00	1	SA	35,203																																	
2000-01-01 15:45:00	1	SA	35,45																																	
2000-01-01 16:00:00	1	SA	36,116																																	
2000-01-01 16:15:00	1	SA	36,902																																	
2000-01-01 16:30:00	1	SA	37,761																																	
2000-01-01 16:45:00	1	SA	38,927																																	
2000-01-01 17:00:00	1	SA	40,646																																	
2000-01-01 17:15:00	1	SA	42,11																																	
2000-01-01 17:30:00	1	SA	43,119																																	
2000-01-01 17:45:00	1	SA	43,955																																	
2000-01-01 18:00:00	1	SA	44,419																																	
2000-01-01 18:15:00	1	SA	44,443																																	
2000-01-01 18:30:00	1	SA	44,085																																	
2000-01-01 18:45:00	1	SA	43,524																																	
2000-01-01 19:00:00	1	SA	42,928																																	
2000-01-01 19:15:00	1	SA	42,06																																	
2000-01-01 19:30:00	1	SA	41,173																																	
