timestamp	month	day_type	value_kWh
2000-01-01 00:00:00	1	SA	18,475
2000-01-01 00:15:00	1	SA	18,25
2000-01-01 00:30:00	1	SA	18,15
2000-01-01 00:45:00	1	SA	18,075
2000-01-01 01:00:00	1	SA	17,875
2000-01-01 01:15:00	1	SA	17,6
2000-01-01 01:30:00	1	SA	17,275
2000-01-01 01:45:00	1	SA	16,9
2000-01-01 02:00:00	1	SA	16,55
2000-01-01 02:15:00	1	SA	16,2
2000-01-01 02:30:00	1	SA	15,85
2000-01-01 02:45:00	1	SA	15,525
2000-01-01 03:00:00	1	SA	15,175
2000-01-01 03:15:00	1	SA	14,85
2000-01-01 03:30:00	1	SA	14,575
2000-01-01 03:45:00	1	SA	14,35
2000-01-01 04:00:00	1	SA	14,225
2000-01-01 04:15:00	1	SA	14,2
2000-01-01 04:30:00	1	SA	14,25
2000-01-01 04:45:00	1	SA	14,35
2000-01-01 05:00:00	1	SA	14,55
2000-01-01 05:15:00	1	SA	14,8
2000-01-01 05:30:00	1	SA	15,125
2000-01-01 05:45:00	1	SA	15,525
2000-01-01 06:00:00	1	SA	16,025
2000-01-01 06:15:00	1	SA	16,85
2000-01-01 06:30:00	1	SA	18,225
2000-01-01 06:45:00	1	SA	20,375
2000-01-01 07:00:00	1	SA	23,475
2000-01-01 07:15:00	1	SA	27,35
2000-01-01 07:30:00	1	SA	31,725
2000-01-01 07:45:00	1	SA	36,35
2000-01-01 08:00:00	1	SA	40,95
2000-01-01 08:15:00	1	SA	45,25
2000-01-01 08:30:00	1	SA	48,9
2000-01-01 08:45:00	1	SA	51,65
2000-01-01 09:00:00	1	SA	53,225
2000-01-01 09:15:00	1	SA	53,65
2000-01-01 09:30:00	1	SA	53,025
2000-01-01 09:45:00	1	SA	51,4
2000-01-01 10:00:00	1	SA	48,975
2000-01-01 10:15:00	1	SA	46,25
2000-01-01 10:30:00	1	SA	43,85
2000-01-01 10:45:00	1	SA	42,375
2000-01-01 11:00:00	1	SA	42,225
2000-01-01 11:15:00	1	SA	42,825
2000-01-01 11:30:00	1	SA	43,375
2000-01-01 11:45:00	1	SA	43,075
2000-01-01 12:00:00	1	SA	41,35
2000-01-01 12:15:00	1	SA	38,625
2000-01-01 12:30:00	1	SA	35,5
2000-01-01 12:45:00	1	SA	32,65
2000-01-01 13:00:00	1	SA	30,525
2000-01-01 13:15:00	1	SA	29,025
2000-01-01 13:30:00	1	SA	27,9
2000-01-01 13:45:00	1	SA	26,85
2000-01-01 14:00:00	1	SA	25,725
2000-01-01 14:15:00	1	SA	24,55
2000-01-01 14:30:00	1	SA	23,5
2000-01-01 14:45:00	1	SA	22,7
2000-01-01 15:00:00	1	SA	22,225
2000-01-01 15:15:00	1	SA	22,05
2000-01-01 15:30:00	1	SA	22
2000-01-01 15:45:00	1	SA	22
2000-01-01 16:00:00	1	SA	21,975
2000-01-01 16:15:00	1	SA	22,125
2000-01-01 16:30:00	1	SA	22,725
2000-01-01 16:45:00	1	SA	24,075
2000-01-01 17:00:00	1	SA	26,375
2000-01-01 17:15:00	1	SA	29,45
2000-01-01 17:30:00	1	SA	33,175
2000-01-01 17:45:00	1	SA	37,275
2000-01-01 18:00:00	1	SA	41,6
