Studie;Jahr;Biomasse [TWh];Wasserkraft [TWh];Wind Offshore [TWh];Wind Onshore [TWh];Photovoltaik [TWh];Abgeregelte EE-Menge [TWh];Wasserstoff [TWh];Kernenergie [TWh];Braunkohle [TWh];Steinkohle [TWh];Erdgas [TWh];Sonstige [TWh];Speicher [TWh];Abfall [TWh];Summe [TWh];Importsaldo [TWh];Gesamterzeugung Erneuerbare [TWh];Gesamterzeugung Konventionelle [TWh];Gesamterzeugung [TWh];Bruttostromverbrauch [TWh];Anteil Erneuerbare
Agora;2018;42;18;20;91;46;0;0;72;135;75;79;28;6;0;611;-49;216;395;611;595;36,32%
Agora;2025;44;21;37;118;86;0;0;0;69;37;102;25;3;0;541;14;306;235;541;574;53,31%
Agora;2030;38;21;90;151;140;-4;9;0;3;11;135;20;4;0;614;17;439;176;614;643;68,23%
Agora;2035;28;21;151;199;216;-21;22;0;0;0;115;12;9;0;752;0;615;137;752;760;80,91%
Agora;2040;18;21;216;279;276;-30;40;0;0;0;54;7;20;0;901;-3;810;91;901;902;89,75%
Agora;2045;10;21;252;309;355;-48;60;0;0;0;0;2;31;0;992;22;947;45;992;1017;93,10%
BDI - Klimapfade 2.0 ;2019;49;20;25;101;51;0;0;75;114;57;90;32;11;0;623;-33;245;378;623;577;42,51%
BDI - Klimapfade 2.0 ;2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;632;0,00%
BDI - Klimapfade 2.0;2030;46;20;106;208;137;0;0;0;0;0;194;20;22;0;753;40;516;236;753;785;65,79%
BDI - Klimapfade 2.0;2035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910;0,00%
BDI - Klimapfade 2.0;2040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1003;0,00%
BDI - Klimapfade 2.0;2045;2;20;292;440;240;0;67;0;0;0;0;0;36;0;1096;40;993;103;1096;1082;91,80%
dena - KN100;2019;42;20;24;99;46;0;0;71;105;52;87;14;6;9;576;-33;232;345;576;577;40,18%
dena - KN100;2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
dena - KN100;2030;24;17;93;216;123;13;0;0;5;11;137;0;13;5;657;41;473;184;657;698;67,72%
dena - KN100;2035;25;16;140;243;176;0;0;0;0;2;94;0;20;2;717;45;600;118;717;774;77,44%
dena - KN100;2040;26;16;168;293;219;0;28;0;0;0;32;0;30;1;813;63;722;91;813;887;81,38%
dena - KN100;2045;21;16;199;303;235;58;65;0;0;0;3;0;30;1;931;26;774;157;931;910;85,04%
BMWK - LFS TN-Strom;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
BMWK - LFS TN-Strom;2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
BMWK - LFS TN-Strom;2030;39;20;84;204;98;2;0;0;4;19;98;0;0;0;569;63;446;123;569;647;68,90%
BMWK - LFS TN-Strom;2035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00%
BMWK - LFS TN-Strom;2040;21;20;172;365;151;0;12;0;0;0;45;0;0;0;786;91;730;56;786;886;82,34%
BMWK - LFS TN-Strom;2045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
BMWK - LFS TN-Strom;2050;2;20;197;413;268;0;42;0;0;0;0;0;0;0;943;132;900;42;943;1078;83,51%
Ariadne - REMIND-Mix;2015;37;22;14;65;35;-1;4;76;0;229;122;5;0;0;609;0;173;436;609;610;28,38%
Ariadne - REMIND-Mix;2025;43;24;43;172;99;-13;12;0;0;47;222;2;0;0;651;0;381;271;651;665;57,21%
Ariadne - REMIND-Mix;2030;36;26;62;312;210;-57;19;0;0;0;88;1;0;0;697;0;645;52;697;754;85,55%
Ariadne - REMIND-Mix;2035;10;27;87;478;301;-105;30;0;0;0;2;0;0;0;829;18;902;-73;829;953;94,73%
Ariadne - REMIND-Mix;2040;11;27;107;568;332;-120;37;0;0;0;0;0;0;0;961;35;1044;-83;961;1117;93,48%
Ariadne - REMIND-Mix;2045;14;26;114;582;329;-120;37;0;0;0;0;0;0;0;981;53;1064;-83;981;1154;92,14%
Ariadne - REMIND-Mix;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
Ariadne - REMod-Mix;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
Ariadne - REMod-Mix;2025;21;17;46;178;101;0;11;0;45;27;158;3;0;0;607;-18;362;244;607;626;57,88%
Ariadne - REMod-Mix;2030;15;17;114;259;180;-2;21;0;0;0;152;2;0;0;758;-31;585;173;758;790;74,02%
Ariadne - REMod-Mix;2035;19;17;187;349;279;-16;25;0;0;0;110;1;0;0;972;-47;851;121;972;1035;82,27%
Ariadne - REMod-Mix;2040;25;17;271;443;367;-38;32;0;0;0;67;0;0;0;1184;-35;1123;62;1184;1258;89,25%
Ariadne - REMod-Mix;2045;44;17;360;542;473;-84;46;0;0;0;0;5;0;0;1403;7;1436;-33;1403;1480;97,04%
Ariadne - REMod-Mix;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%
Ariadne - TIMES PanEU-Mix;2015;55;18;0;79;39;0;0;67;141;110;66;0;-1;0;573;-51;190;383;573;709;26,84%
Ariadne - TIMES PanEU-Mix;2025;52;19;43;152;74;0;0;0;48;33;57;0;-1;0;478;38;339;138;478;437;77,64%
Ariadne - TIMES PanEU-Mix;2030;45;20;80;170;95;0;3;0;1;21;65;0;0;0;500;-12;410;89;500;557;73,71%
Ariadne - TIMES PanEU-Mix;2035;42;20;145;172;151;0;2;0;2;10;31;0;0;0;574;39;530;44;574;531;99,68%
